"Name","PipeSize","alpha","Schedule","OD","ID","H","J","M","Approx. Wt."
"417-005","1/2""","45 deg",40,"0.840 in","0.602 in","1 in","1/4 in","1+3/32 in",".04 lb"
"417-007","3/4""","45 deg",40,"1.050 in","0.804 in","1+3/8 in","7/16 in","1+5/16 in",".07 lb"
"417-010","1""","45 deg",40,"1.315 in","1.029 in","1+1/2 in","15/32 in","1+21/32 in",".11 lb"
"417-012","1-1/4""","45 deg",40,"1.660 in","1.360 in","1+19/32 in","3/8 in","1+31/32 in",".15 lb"
"417-015","1-1/2""","45 deg",40,"1.900 in","1.590 in","1+29/32 in","19/32 in","2+1/4 in",".22 lb"
"417-020","2""","45 deg",40,"2.375 in","2.047 in","2+1/16 in","11/16 in","2+3/4 in",".31 lb"
"417-025","2-1/2""","45 deg",40,"2.875 in","2.445 in","2+7/16 in","11/16 in","3+3/8 in",".57 lb"
"417-030","3""","45 deg",40,"3.500 in","3.042 in","2+27/32 in","27/32 in","4 in",".84 lb"
"417-040","4""","45 deg",40,"4.500 in","3.998 in","3+3/32 in","1+3/32 in","5+1/32 in","1.22 lb"
"417-050","5""","45 deg",40,"5.563 in","5.016 in","4+3/8 in","1+3/8 in","6+5/32 in","2.47 lb"
"417-060","6""","45 deg",40,"6.625 in","6.031 in","4+3/4 in","1+23/32 in","7+9/32 in","3.61 lb"
"417-080","8""","45 deg",40,"8.625 in","7.942 in","6 in","2 in","9+3/8 in","6.58 lb"
"417-100","10""","45 deg",40,"10.750 in","9.976 in","7+5/8 in","2+19/32 in","12+1/8 in","18.99 lb"
"417-120","12""","45 deg",40,"12.750 in","11.889 in","9+1/16 in","3+3/16 in","15+3/8 in","32.01 lb"
"417-120F","12""","45 deg",40,"12.750 in","11.889 in","10 in","3+3/4 in","13+1/2 in","17.39 lb"
